wrong,correct
sisteman,sistema
ssistema,sistema
audioi,audio
proyecccion,proyección
proyecciom,proyección
proyecor,proyector
patalla,pantalla
montor,monitor
monitore,monitor
inhalambrico,inalámbrico
ilumiacion,iluminación
anilumenes,ansilumenes
llumenes,lúmenes
dixital,digital
contol,control
notebbok,notebook
parlate,parlante
adapatador,adaptador
extesion,extensión
extencion,extensión
covertidor,convertidor
simultaneal,simultánea
canles,canales
balroom,ballroom
portati,portátil
dobre,doble
trasmisor,transmisor
swircher,switcher
fresnell,fresnel
fressnel,fresnel
fesnel,fresnel
fpyer,foyer
leanding,landing
hdbaaset,hdbaset
lavelier,lavalier
papelogrago,papelógrafo
multifincional,multifuncional
direcorio,directorio
teclago,teclado
inteprete,intérprete
valdivvia,valdivia
iteractivo,interactivo
infrarojo,infrarrojo
delagado,delegado
medelo,modelo
passslide,passlide
riggin,rigging
equalizador,ecualizador
milumin,millumin
