column,before,after,rule,rows
stockQty,texto formato latino,número,tipado,57007
unitCost,texto formato latino,número,tipado,57011
replacementCost,texto formato latino,número,tipado,56816
canRent,etiqueta texto,booleano,tipado,57011
canSell,etiqueta texto,booleano,tipado,57011
canSubrent,etiqueta texto,booleano,tipado,57011
totalCost,texto formato latino,número,tipado,57007
affectsAvailability,etiqueta texto,booleano,tipado,57011
retailPrice,texto formato latino,número,tipado,46538
isFreight,etiqueta texto,booleano,tipado,57011
isMiscItem,etiqueta texto,booleano,tipado,57011
lowRetailPrice,texto formato latino,número,tipado,56830
maximumQty,texto formato latino,número,tipado,15954
minimumQty,texto formato latino,número,tipado,15954
msrp,texto formato latino,número,tipado,2811
reorderQty,texto formato latino,número,tipado,15954
manufacturer,S/N,(vacío),placeholder,80
manufacturer,S/M,(vacío),placeholder,29
manufacturer,SM,(vacío),placeholder,20
manufacturer,.,(vacío),placeholder,1
manufacturer,----,(vacío),placeholder,1
manufacturer,VARIOS,(vacío),placeholder,1
manufacturer,SIN MARCA,GENERICO,placeholder,3
manufacturer,OEM,GENERICO,placeholder,430
manufacturer,GENERICA,GENERICO,placeholder,6
manufacturer,GENERICOS,GENERICO,placeholder,5
model,S/N,(vacío),placeholder,70
model,S/M,(vacío),placeholder,58
model,SM,(vacío),placeholder,15
model,SIN MODELO,(vacío),placeholder,6
model,GENERICO,(vacío),placeholder,42
model,VARIOS,(vacío),placeholder,1
revenueGroup,XXXXXX,(vacío),placeholder,116
reportGroup,104728,(vacío),placeholder,28
department,DEPT1,(vacío),placeholder,1
description,sisteman,sistema,ortografía (word_corrections.csv),3
description,ssistema,sistema,ortografía (word_corrections.csv),1
description,audioi,audio,ortografía (word_corrections.csv),2
description,proyecccion,proyección,ortografía (word_corrections.csv),8
description,proyecciom,proyección,ortografía (word_corrections.csv),1
description,proyecor,proyector,ortografía (word_corrections.csv),2
description,patalla,pantalla,ortografía (word_corrections.csv),19
description,montor,monitor,ortografía (word_corrections.csv),9
description,monitore,monitor,ortografía (word_corrections.csv),2
description,inhalambrico,inalámbrico,ortografía (word_corrections.csv),6
description,ilumiacion,iluminación,ortografía (word_corrections.csv),8
description,llumenes,lúmenes,ortografía (word_corrections.csv),5
description,dixital,digital,ortografía (word_corrections.csv),1
description,contol,control,ortografía (word_corrections.csv),52
description,notebbok,notebook,ortografía (word_corrections.csv),3
description,parlate,parlante,ortografía (word_corrections.csv),6
description,adapatador,adaptador,ortografía (word_corrections.csv),2
description,extesion,extensión,ortografía (word_corrections.csv),14
description,extencion,extensión,ortografía (word_corrections.csv),36
description,covertidor,convertidor,ortografía (word_corrections.csv),1
description,simultaneal,simultánea,ortografía (word_corrections.csv),5
description,canles,canales,ortografía (word_corrections.csv),2
description,balroom,ballroom,ortografía (word_corrections.csv),3
description,portati,portátil,ortografía (word_corrections.csv),4
description,dobre,doble,ortografía (word_corrections.csv),3
description,trasmisor,transmisor,ortografía (word_corrections.csv),15
description,swircher,switcher,ortografía (word_corrections.csv),2
description,fresnell,fresnel,ortografía (word_corrections.csv),71
description,fressnel,fresnel,ortografía (word_corrections.csv),7
description,fesnel,fresnel,ortografía (word_corrections.csv),1
description,fpyer,foyer,ortografía (word_corrections.csv),3
description,leanding,landing,ortografía (word_corrections.csv),2
description,hdbaaset,hdbaset,ortografía (word_corrections.csv),2
description,lavelier,lavalier,ortografía (word_corrections.csv),2
description,papelogrago,papelógrafo,ortografía (word_corrections.csv),36
description,multifincional,multifuncional,ortografía (word_corrections.csv),4
description,direcorio,directorio,ortografía (word_corrections.csv),3
description,teclago,teclado,ortografía (word_corrections.csv),1
description,valdivvia,valdivia,ortografía (word_corrections.csv),3
description,iteractivo,interactivo,ortografía (word_corrections.csv),1
description,infrarojo,infrarrojo,ortografía (word_corrections.csv),31
description,delagado,delegado,ortografía (word_corrections.csv),5
description,medelo,modelo,ortografía (word_corrections.csv),10
description,passslide,passlide,ortografía (word_corrections.csv),7
description,riggin,rigging,ortografía (word_corrections.csv),4
description,equalizador,ecualizador,ortografía (word_corrections.csv),12
description,milumin,millumin,ortografía (word_corrections.csv),9
manufacturer,KRAMMER,KRAMER,alias fabricante (manufacturer_aliases.csv),356
manufacturer,BLACKMAGIC,BLACKMAGIC DESIGN,alias fabricante (manufacturer_aliases.csv),276
manufacturer,ELECTROVOICE,ELECTRO-VOICE,alias fabricante (manufacturer_aliases.csv),149
