siteId,siteName,rows,country,countrySource,siteType,prefixTopCountry,prefixShare,prefixedRows,checkPrefixConflict
CD SANTIAGO,CD Santiago,3530,CHILE,regla_nombre,CENTRO_DISTRIBUCION,COLOMBIA,0.37,301,False
CORPORATIVO PERU,CORPORATIVO PERU,2422,PERU,regla_nombre,CENTRO_DISTRIBUCION,PERU,0.89,725,False
ADMINISTRACIÓN COLOMB,Administración Colombia,2026,COLOMBIA,regla_nombre,CENTRO_DISTRIBUCION,COLOMBIA,0.74,1047,False
CD BOGOTA,CD Bogota,1824,COLOMBIA,regla_nombre,CENTRO_DISTRIBUCION,COLOMBIA,0.93,852,False
H. W,H. W,1542,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.43,109,False
CD CONCEPCION,CD Concepcion,1324,CHILE,regla_nombre,CENTRO_DISTRIBUCION,COLOMBIA,0.48,90,False
H. MANDARIN SANTIAGO,H. Mandarin Santiago,1298,CHILE,regla_nombre,VENUE_CLIENTE,CHILE,0.44,45,False
H. SHERATON STGO.,H. Sheraton Stgo.,1236,CHILE,regla_nombre,VENUE_CLIENTE,PERU,0.48,29,False
HOTEL WESTIN-PERU,Hotel Westin-Peru,1160,PERU,regla_nombre,VENUE_CLIENTE,PERU,0.97,364,False
SERVICIO TECNICO SANT,Servicio Tecnico Santiago,1130,CHILE,regla_nombre,SERVICIO_TECNICO,CHILE,0.36,33,False
H. SHERATON MIRAMAR,H. Sheraton Miramar,1074,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.43,65,False
CC AGORA,CC Agora,1045,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.98,332,False
H. ICON,H. Icon,925,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.47,62,False
H. DOUBLETREE BY HILT,H. Doubletree by Hilton,919,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.42,33,False
H. INTERCONTINENTAL,H. Intercontinental,912,CHILE,regla_nombre,VENUE_CLIENTE,CHILE,0.37,49,False
H.C. HILTON BOGOTA,H.C. Hilton Bogota,904,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.95,531,False
METROPOLITAN SANTIAGO,CC Metropolitan Santiago,877,CHILE,regla_nombre,VENUE_CLIENTE,CHILE,0.42,149,False
H. REGAL PACIFIC,H. Regal Pacific,877,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.46,67,False
H.C. W,H.C. W,849,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.97,439,False
H. GALERIAS - ALMACRU,H. Galerias - Almacruz,839,CHILE,regla_nombre,VENUE_CLIENTE,CHILE,0.48,27,False
