familyName,categoryName,products
Audio,Accesorio de audio,72
Audio,Altavoz / Parlante,229
Audio,Amplificador,154
Audio,Caja directa,41
Audio,Consola de audio,146
Audio,Intercomunicador / Radio,31
Audio,Micrófono,252
Audio,Procesador / Interfaz de audio,51
Audio,Receptor de micrófono,51
Audio,Reproductor / Grabador de audio,30
Audio,Sistema de audio,97
Cables y conectores,Adaptador / Conector,230
Cables y conectores,Cable / Extensión de energía,147
Cables y conectores,Cable de audio,219
Cables y conectores,Cable de red,95
Cables y conectores,Cable de video,230
Electricidad,Accesorio eléctrico,19
Electricidad,Generador,6
Electricidad,Tablero eléctrico,20
Electricidad,UPS / Respaldo de energía,16
Estructura y montaje,Case / Rack / Bolso,90
Estructura y montaje,Mobiliario / Podio / Atril,67
Estructura y montaje,Rigging / Tecle / Motor,35
Estructura y montaje,Soporte / Pedestal / Base,52
Estructura y montaje,Truss / Estructura,78
Iluminación,Accesorio de iluminación,21
Iluminación,Cabeza móvil / Robotizado,41
Iluminación,Consola / Control de iluminación,48
Iluminación,Efectos (humo / láser),56
Iluminación,Foco / Luminaria,255
Informática,Accesorio informático,67
Informática,Almacenamiento,47
Informática,Computador / Notebook,171
Informática,Impresora / Insumo de impresión,49
Informática,Networking,99
Informática,Periférico,61
Informática,Software / Streaming / Plataforma,110
Informática,Tablet / Dispositivo móvil,29
Paquetes y salones,Kit / Sistema armado,431
Paquetes y salones,Paquete AV de salón,903
Servicios,Otro servicio / cargo,137
Servicios,Personal técnico / Operación,196
Servicios,Subarriendo,21
Servicios,Transporte / Viáticos / Logística,134
Traducción simultánea,Accesorio de traducción,90
Traducción simultánea,Cabina de interpretación,21
Traducción simultánea,Pupitre de intérprete,9
Traducción simultánea,Receptor / Audífono de traducción,33
Traducción simultánea,Sistema de debate / votación,61
Traducción simultánea,Transmisor / Radiador,7
Video,Accesorio de video,93
Video,Cámara de video,92
Video,Distribuidor / Extensor / Conversor de video,264
Video,Pantalla / Monitor / TV,452
Video,Pantalla LED / Módulo LED,159
Video,Procesador / Servidor / Reproductor de video,83
Video,Proyector,397
Video,Switcher / Matriz / Escalador,111
Video,Telón / Ecran,251
Video,Videoconferencia,27
,,406
